STATES OF THE WORLD;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Users group;1;;;;;;;;;;;;;;;;
Users group;CR1 - Volume;CR1 - Cost;CR2 - Volume;CR2 - Cost;CR3 - Volume;CR3 - Cost;CR4 - Volume;CR4 - Cost;CR5 - Volume;CR5 - Cost;CR6 - Volume;CR6 - Cost;CR7 - Volume;CR7 - Cost;CR8 - Volume;CR8 - Cost;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Users group;CR1 - Volume;CR1 - Cost;CR2 - Volume;CR2 - Cost;CR3 - Volume;CR3 - Cost;CR4 - Volume;CR4 - Cost;CR5 - Volume;CR5 - Cost;CR6 - Volume;CR6 - Cost;CR7 - Volume;CR7 - Cost;CR8 - Volume;CR8 - Cost;
2;1.5;4820.31;1.5;4820.31;1.5;4820.31;1.5;4820.31;1.5;4820.31;1.5;4820.31;1.5;4820.31;0;0;
Users group;CR1 - Volume;CR1 - Cost;CR2 - Volume;CR2 - Cost;CR3 - Volume;CR3 - Cost;CR4 - Volume;CR4 - Cost;CR5 - Volume;CR5 - Cost;CR6 - Volume;CR6 - Cost;CR7 - Volume;CR7 - Cost;CR8 - Volume;CR8 - Cost;
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Users group;CR1 - Volume;CR1 - Cost;CR2 - Volume;CR2 - Cost;CR3 - Volume;CR3 - Cost;CR4 - Volume;CR4 - Cost;CR5 - Volume;CR5 - Cost;CR6 - Volume;CR6 - Cost;CR7 - Volume;CR7 - Cost;CR8 - Volume;CR8 - Cost;
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tariff policy;1;;;;;;;;;;;;;;;;
Tariff policy;Sewage percentage (%);Charge unbilled sewage?;There is an extra tariff?;What volume is considered for the extra tariff?;;;;;;;;;;;;;
1;0;N;N;0;0;0;0;0;0;0;0;0;;;;;
Tariff policy;Sewage percentage (%);Charge unbilled sewage?;There is an extra tariff?;What volume is considered for the extra tariff?;;;;;;;;;;;;;
2;80;N;N;0;0;0;0;0;0;0;0;0;;;;;
Tariff policy;Sewage percentage (%);Charge unbilled sewage?;There is an extra tariff?;What volume is considered for the extra tariff?;;;;;;;;;;;;;
3;80;Y;N;0;0;0;0;0;0;0;0;0;;;;;
Tariff policy;Sewage percentage (%);Charge unbilled sewage?;There is an extra tariff?;What volume is considered for the extra tariff?;;;;;;;;;;;;;
4;80;N;Y;0.5;0.5;1.5;1.5;3;3;3;3;6;;;;;
;;;;;;;;;;;;;;;;;
SIZING DATA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Teta;Runoff coeff;Initial discard;Desired efficiency;Rainfall data start date;Number of consumption ranges;;;;;;;;;;;;
0;0.8;2;4;01/10/1993;1;;;;;;;;;;;;
Area by consumption range;;;;;;;;;;;;;;;;;
CR 1 (max. volume);Area (m²);CR 2 (max. volume);Area (m²);CR 3 (max. volume);Area (m²);CR 4 (max. volume);Area (m²);CR 5 (max. volume);Area (m²);CR 6 (max. volume);Area (m²);CR 7 (max. volume);Area (m²);CR 8 (max. volume);Area (m²);;
10;100;15;0;20;0;25;0;30;0;40;0;50;;150;0;;
Number of connections by consumption range;;;;;;;;;;;;;;;;;
CR 1 (max. volume);Connections;CR 2 (max. volume);Connections;CR 3 (max. volume);Connections;CR 4 (max. volume);Connections;CR 5 (max. volume);Connections;CR 6 (max. volume);Connections;CR 7 (max. volume);Connections;CR 8 (max. volume);Connections;;
10;6693;15;0;20;0;25;0;30;0;40;0;50;0;150;0;;
;;;;;;;;;;;;;;;;;
ECONOMIC EVALUATION;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Costs;;;;;;;;;;;;;;;;;
Monthly fixed cost;Monthly variable cost;Quarterly fixed cost;Semi-annual fixed cost;Annual fixed cost;Annual variable cost;;;;;;;;;;;;
0;0.1300;0;90;0;0.015;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Economic variables;;;;;;;;;;;;;;;;;
Lifespan (years);Discount rate (% per month);Revenues per m³;Annual rate of water increase (% per year);Annual rate of revenues (% per year);Annual rate of discount rate (% per year);Annual rate of users cost (% per year);Annual rate of connections (% per year);;;;;;;;;;
30;0.967638;4.68;1.15;1.12;1.04;1.08;1.03;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Tariff structure;;;;;;;;;;;;;;;;;
Number of consumption ranges;Is there basic fare?;Basic fare value ($);Basic sewage fare value ($);Min fare value of the first consumption range ($);;;;;;;;;;;;;
8;Y;0;0;6;;;;;;;;;;;;;
Volume 1 (m³);Price 1 ($/m³);Volume 2 (m³);Price 2 ($/m³);Volume 3 (m³);Price 3 ($/m³);Volume 4 (m³);Price 4 ($/m³);Volume 5 (m³);Price 5 ($/m³);Volume 6 (m³);Price 6 ($/m³);Volume 7 (m³);Price 7 ($/m³);Volume 8 (m³);Price 8 ($/m³);Volume 9 (m³);Price 9 ($/m³)
6;6.863;10;1.63;15;11.53;20;12.34;25;13.87;30;15.47;40;17;50;18.65;100;22.44
;;;;;;;;;;;;;;;;;
TANK VOLUMES AND COSTS;;;;;;;;;;;;;;;;;
Number of volumes;18;;;;;;;;;;;;;;;;
0.31;0.5;0.6;1;1.5;1.75;2;2.5;3;5;6;10;15;20;25;30;35;40
3641.87;3736.67;4114.89;4089.82;4820.31;4891.27;5073.14;6461.77;6495.16;6847.26;8007.15;8998.34;12697.21;18510.49;17075.46;19949.12;25280.65;30612.17
;;;;;;;;;;;;;;;;;
AVERAGE CONSUMPTION;;;;;;;;;;;;;;;;;
Monthly consumption (m³);;;;;;;;;;;;;;;;;
Consumption Range;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;;;;;
1;6.79;6.79;6.79;6.79;6.79;6.79;6.79;6.79;6.79;6.79;6.79;6.79;;;;;
2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;;;;;;;;;;;;;;;;;
Daily consumption (l);;;;;;;;;;;;;;;;;
Consumption Range;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;;;;;
1;118.313;118.313;118.313;118.313;118.313;118.313;118.313;118.313;118.313;118.313;118.313;118.313;;;;;
2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
